Product,Flag Key,Description,Created Date,Archived,Enabled In Prod,ukg-expiry-date,Rules Details,Fallthrough Variation,Variations,Default On Variation,Default Off Variation,jira issues
Migration-Tool,enable-protime-migration-tool-api-data-retrieval,Controls whether the migration tool uses API for configuration data retrieval,5/13/26 3:17,FALSE,FALSE,8/8/26,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-743202
UTA,enable-uta-pro-ignite-lite,Controls whether to display ignite lite style in UTA pages in Ukg Pro Core.,2/23/26 20:03,FALSE,TRUE,12/31/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-732981
Migration-Tool,enable-uta-protime-migration-tool-apis,Controls whether to enable ProTime Migration Tool APIs in UTA for data extraction,6/9/26 7:19,FALSE,FALSE,12/31/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-743202
UTA,fix-uta-csv-export-whitespace-field-preservation,UTA JIRA : PS-779290 - Controls whether CSVExportTask preserves whitespace-only and empty field values in CSV exports by intercepting StringUtil.isEmpty() within getExportRowDataCount.,5/13/26 2:55,FALSE,TRUE,7/30/26,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-779290
UTA,show-uta-clock-fences-list-suffix,UTA JIRA : PS-669546 - This flag is used to show or hide the list suffix in the Geo-Fence Administration page.,1/5/26 22:58,FALSE,TRUE,,"datacenter.code in [ATL, PLAS1, TOR] -> var: true ()",FALSE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,
UTA,uta-allow-ptms-deprecated,"uta flag for PTMS deprecation. When enabled (with master prerequisite 'release-global-ptms-deprecated'), uta routes against TRex instead of calling TMS. utaSettings: AllowPtmsDeprecated",5/4/26 21:45,FALSE,TRUE,12/31/99,"datacenter.code in [ATL, PLAS1, TOR] -> var: true (Enabled)",Disabled (false),"name=Enabled, value=true, description=uta works with TReX instead of TMS; name=Disabled, value=false, description=uta works with TMS instead of TReX",Enabled (true),Disabled (false),PS-866958
UTM,allow-utm-direct-login,Controls whether direct login is allowed. Migrated from legacy flag DIRECTLOGINDISABLED (inverse semantics).,1/6/26 15:19,FALSE,TRUE,,"datacenter.code in [ATL, PLAS1, TOR] -> var: true (Allowed)",Disallowed (false),"name=Allowed, value=true, description=Direct login is allowed; name=Disallowed, value=false, description=Direct login is disallowed",Allowed (true),Disallowed (false),PS-666270
UTM,enable-utm-pbj-report-trim-hours-version,Controls whether the PBJ Report version 4.10 trims daily employee hours to a maximum of 22.5 hours per employee per day in the report output. UtmSettings: EnableUtmPBJReportTrimHoursVersion,5/5/26 18:41,FALSE,TRUE,4/24/27,"datacenter.code in [ATL, PLAS1, TOR, PLAS] -> var: true (Enabled)",Disabled (false),"name=Enabled, value=true, description=The PBJ Report version 4.10 trims daily employee hours to a maximum of 22.5 hours per employee per day in the report output.; name=Disabled, value=false, description=The PBJ Report version 4.10 does not trim daily employee hours to a maximum of 22.5 hours per employee per day in the report output.",Enabled (true),Disabled (false),PS-873548
UTM,enable-utm-post-pay-code-high-stack,Controls whether the high stack size is enabled for post pay code processing. UtmSettings: EnableUtmPostPayCodeHighStack,4/8/26 15:26,FALSE,FALSE,12/31/99,,Enabled (true),"name=Enabled, value=true, description=The high stack size is enabled for post pay code processing.; name=Disabled, value=false, description=The high stack size is not enabled for post pay code processing.",Enabled (true),Disabled (false),PS-736427
UTM,enable-utm-pro-ignite-lite,Controls whether to display ignite lite style in UTM pages in Ukg Pro Core.,2/23/26 20:03,FALSE,TRUE,12/31/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-732981
UTM,enable-utm-pro-mx-rebrand,Controls whether to send MX and Rebrand values from UKG Pro Core to UTM,2/26/26 8:32,FALSE,TRUE,12/31/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-547907
